country_code,year,y_ext,delta_y_geo,region
LUX,1981,994.406982421875,5.692735245657809,INL
LUX,1982,995.4498291015624,5.711976812017116,INL
LUX,1983,998.3685302734376,5.726270527495077,INL
LUX,1984,1004.2688598632812,5.618048392793583,INL
LUX,1985,1006.8291015625,5.3605267406324515,INL
LUX,1986,1015.8967895507812,5.58161416488234,INL
LUX,1987,1019.1236572265624,5.918578890520722,INL
LUX,1988,1026.522216796875,5.798208170354548,INL
LUX,1989,1034.8968505859375,5.756141378797021,INL
LUX,1990,1038.8282470703125,6.0630229759096075,INL
LUX,1991,1045.7794189453125,6.926574769763471,INL
LUX,1992,1046.25439453125,7.547642497938582,INL
LUX,1993,1049.0267333984375,7.9775066739997795,INL
LUX,1994,1051.4146728515625,7.857692121502641,INL
LUX,1995,1051.4320068359375,8.025214640317547,INL
LUX,1996,1051.5770263671875,8.132554990533741,INL
LUX,1997,1056.0927734375,8.60778906621703,INL
LUX,1998,1061.136962890625,8.829673667302329,INL
LUX,1999,1067.8682861328125,8.89859486572234,INL
LUX,2000,1074.630126953125,9.179551314830347,INL
LUX,2001,1075.9256591796875,9.533268353773476,INL
LUX,2002,1078.90087890625,9.053013271292095,INL
LUX,2003,1079.2218017578125,8.29031104921354,INL
LUX,2004,1082.104736328125,7.573019643395709,INL
LUX,2005,1085.8623046875,6.812824801156513,INL
LUX,2006,1089.1197509765625,6.6713153681505,INL
LUX,2007,1094.0029296875,6.637591378914301,INL
LUX,2008,1092.96630859375,6.248286741753332,INL
LUX,2009,1085.6700439453125,5.90379756101631,INL
LUX,2010,1086.478271484375,5.896909803722443,INL
LUX,2011,1085.29443359375,5.657422830496512,INL
LUX,2012,1084.529296875,5.55471494835715,INL
LUX,2013,1085.3406982421875,5.03503021889861,INL
LUX,2014,1085.572998046875,4.7142977202589735,INL
LUX,2015,1085.4573974609375,4.5901056083843645,INL
LUX,2016,1088.1602783203125,4.24768788433243,INL
LUX,2017,1087.0379638671875,3.730785578589889,INL
LUX,2018,1086.7076416015625,3.406743368048706,INL
LUX,2019,1087.4569091796875,3.0285140887109216,INL
LUX,2020,1085.2791748046875,3.1331460959795794,INL
LUX,2021,1090.4610595703125,2.938222287927219,INL
LUX,2022,1087.34326171875,2.65269254790445,INL
LUX,2023,1084.627197265625,2.1498052547162696,INL
LUX,2024,1083.97412109375,2.1748814902037044,INL
LVA,1960,,-0.2900977380276498,ECA
LVA,1961,,-1.301180747840258,ECA
LVA,1962,,-2.5697986347821997,ECA
LVA,1963,,-3.5173975822711223,ECA
LVA,1964,,-4.097952829820651,ECA
LVA,1965,735.1193237304688,-4.359328312106609,ECA
LVA,1966,738.4234619140625,-4.972020016030178,ECA
LVA,1967,748.7139892578125,-5.63751105362112,ECA
LVA,1968,754.3924560546875,-6.095855313075207,ECA
LVA,1969,758.0221557617188,-6.335065429383262,ECA
LVA,1970,765.0579833984375,-6.3438366382178275,ECA
LVA,1971,771.7843627929688,-7.000267233310884,ECA
LVA,1972,775.9841918945312,-7.173245905866252,ECA
LVA,1973,780.773193359375,-6.678161299467125,ECA
LVA,1974,784.6438598632812,-5.947669628501145,ECA
LVA,1975,790.5187377929688,-5.766215726751243,ECA
LVA,1976,795.3836059570312,-5.725377482763009,ECA
LVA,1977,797.9663696289062,-6.126425712214605,ECA
LVA,1978,800.6824340820312,-6.97213473674326,ECA
LVA,1979,803.3598022460938,-8.106107980108874,ECA
LVA,1980,807.1319580078125,-9.697594642282896,ECA
LVA,1981,810.9696655273438,-11.744127405365782,ECA
LVA,1982,812.8309936523438,-12.742968777319353,ECA
LVA,1983,817.3306274414062,-13.856011340023786,ECA
LVA,1984,822.2971801757812,-14.85447879845419,ECA
LVA,1985,821.2664794921875,-15.579994117289132,ECA
LVA,1986,825.0554809570312,-16.03798366373579,ECA
LVA,1987,826.345458984375,-16.578904727353443,ECA
LVA,1988,830.2992553710938,-17.186751803917268,ECA
LVA,1989,835.3207397460938,-17.676529434760237,ECA
LVA,1990,827.1867065429688,-17.403457004431505,ECA
LVA,1991,814.19775390625,-16.032603384506757,ECA
LVA,1992,776.8338012695312,-14.337519003378864,ECA
LVA,1993,773.6943359375,-12.585779849943025,ECA
LVA,1994,777.534423828125,-10.988140617934185,ECA
LVA,1995,778.010986328125,-9.7926348711279,ECA
LVA,1996,782.858154296875,-8.08902083105832,ECA
LVA,1997,791.8125,-7.018104739024978,ECA
LVA,1998,797.3701171875,-6.032402797564696,ECA
LVA,1999,802.7760620117188,-4.861103732123251,ECA
LVA,2000,810.1961059570312,-3.9077353834635464,ECA
LVA,2001,818.6927490234375,-2.6684333465359185,ECA
LVA,2002,825.6627197265625,-1.0599805097075874,ECA
LVA,2003,833.1810913085938,0.1780287158382119,ECA
LVA,2004,842.0428466796875,1.4220254500142657,ECA
LVA,2005,852.6521606445312,2.919772145633797,ECA
LVA,2006,864.74072265625,3.850835411680903,ECA
LVA,2007,874.7705688476562,4.313262596327121,ECA
LVA,2008,870.875,4.727311966394028,ECA
LVA,2009,851.5828247070312,4.690278883127057,ECA
