country_code,decade,contemporaneous_effect
GTM,1970s,1.3385576793445702
GTM,1980s,7.295525157077192
GTM,1990s,4.95696719510511
GTM,2000s,-1.2782164753623757
GTM,2010s,-3.0626575438894688
GTM,2020-2024,-1.1769257390753571
GUY,1960s,6.522228603898581
GUY,1970s,-7.602354948221997
GUY,1980s,1.0007207488071095
GUY,1990s,4.0629098296946795
GUY,2000s,-1.0098018779008449
GUY,2010s,-1.5613717733852543
GUY,2020-2024,1.2970483613668438
HND,1960s,-3.8081027726853827
HND,1970s,0.6929269823952501
HND,1980s,2.102811477559139
HND,1990s,-0.21178084525292823
HND,2000s,-4.847541960662001
HND,2010s,4.6900451435115995
HND,2020-2024,0.14779918633373174
HRV,1960s,1.2314043444598086
HRV,1970s,-1.619762811942968
HRV,1980s,-1.5779487416473343
HRV,1990s,7.7812902933243375
HRV,2000s,2.5635630769461217
HRV,2010s,-1.2629201185399193
HRV,2020-2024,0.24799206208366498
HTI,1960s,-7.092245269837896
HTI,1970s,3.3631401345197416
HTI,1980s,2.2277127297305572
HTI,1990s,-3.7934383640154286
HTI,2000s,2.929486478347177
HTI,2010s,-5.157132059456894
HTI,2020-2024,-0.9006879417262941
HUN,1960s,6.564907574302579
HUN,1970s,3.9970148291817207
HUN,1980s,0.9259735461176544
HUN,1990s,1.7676233049422256
HUN,2000s,-2.7988526184674054
HUN,2010s,-5.373695231655056
HUN,2020-2024,-1.3311611426010557
IDN,1960s,0.657988185483393
IDN,1970s,-2.1927756714401214
IDN,1980s,0.21640134300513225
IDN,1990s,-5.048622183285632
IDN,2000s,4.899582307718536
IDN,2010s,-1.5708437473968953
IDN,2020-2024,1.4895974241706749
IND,1960s,-3.797597452061897
IND,1970s,-0.8277120431765103
IND,1980s,4.255592760779365
IND,1990s,-3.5232042900828517
IND,2000s,8.799999712772607
IND,2010s,-3.8424369853955396
IND,2020-2024,1.0095685865052524
IRL,1960s,-0.657065757392534
IRL,1970s,1.9514094727676798
IRL,1980s,1.7042451289197156
IRL,1990s,1.3518344769637898
IRL,2000s,-2.7441040144607687
IRL,2010s,-0.684973264875196
IRL,2020-2024,0.04613748057524955
IRN,1960s,1.177063743308604
IRN,1970s,-2.7601233746811245
IRN,1980s,-1.5524792842362605
IRN,1990s,-1.8741682344834334
IRN,2000s,-6.327481950125495
IRN,2010s,6.354806711472242
IRN,2020-2024,-0.23188399101322
IRQ,1960s,-0.41080184409346393
IRQ,1970s,4.431690195702079
IRQ,1980s,5.079720835306771
IRQ,1990s,-3.0267045664788363
IRQ,2000s,9.069871276925571
IRQ,2010s,2.055813886974696
IRQ,2020-2024,-0.3770126613681096
ISL,1960s,1.2845146376967185
ISL,1970s,-3.442251361820008
ISL,1980s,1.7410802029923964
ISL,1990s,2.7689797724808556
ISL,2000s,-2.517255421168888
ISL,2010s,0.3915710049437652
ISL,2020-2024,-0.5474383772792628
ISR,1960s,0.26740791799761987
